"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投資比率(%)"
"1101","台泥",44.79,208.14,141.34,124.52,7.58,4.46,81.83,8.03,45.45,0.83,0.32,3.68,5.84,31.19,9.87,1.72,34.03,128.62,3.87
"1102","亞泥",41.01,335.89,103.16,86.22,4.95,3.85,94.80,7.35,49.65,0.97,0.24,2.38,3.17,19.27,7.68,1.26,31.37,126.91,4.43
"1103","嘉泥",39.48,1191.74,476.59,428.15,141.31,9.13,39.97,2.14,170.56,1.44,0.12,0.63,0.07,1.02,0.31,0.04,20.94,34.03,1.15
"1104","環泥",19.41,310.88,141.85,125.43,107.29,4.23,86.28,12.29,29.69,0.81,0.22,8.42,10.39,28.02,36.42,2.68,28.84,65.19,0.52
"1108","幸福",38.06,270.97,205.80,60.17,13.85,5.05,72.27,1.01,361.38,2.24,0.55,4.37,6.53,9.92,7.41,0.78,9.46,180.69,-0.58
"1109","信大",26.78,190.52,224.69,155.15,7.97,6.84,53.36,4.44,82.20,1.11,0.50,2.35,2.79,5.53,4.09,0.42,49.00,91.99,5.08
"1110","東泥",6.16,3444.08,793.17,379.09,81195.52,4.08,89.46,2.57,142.02,5.89,0.16,2.24,2.40,3.80,14.04,0.19,-107.57,39.65,-5.37
"1201","味全",79.06,92.36,85.76,26.98,-0.98,6.81,53.59,0.90,405.55,1.39,0.48,-1.72,-13.94,-22.56,-6.35,-1.53,-4.98,5.24,-6.37
"1203","味王",38.57,245.86,229.91,152.27,75.81,12.43,29.36,3.16,115.50,2.25,0.74,7.54,12.06,34.20,9.93,1.78,63.72,226.38,8.03
"1210","大成",46.70,184.89,123.35,70.26,9.65,8.07,45.22,8.56,42.64,6.30,1.95,7.27,13.00,42.65,3.38,3.01,25.08,179.36,18.32
"1213","大飲",18.47,234.23,321.38,285.48,106.71,4.88,74.79,13.55,26.93,2.14,0.78,1.81,2.21,3.29,2.30,0.27,23.13,365.91,2.54
"1215","卜蜂",40.93,164.99,114.05,79.05,50.38,9.97,36.60,12.08,30.21,4.62,1.74,12.61,21.87,58.99,7.10,4.71,41.87,95.51,11.16
"1216","統一",59.67,142.06,99.16,74.42,1285.95,23.00,15.86,8.24,44.29,2.37,1.06,6.54,15.35,53.68,5.73,2.56,39.38,122.45,11.69
"1217","愛之味",47.67,268.63,74.26,50.33,2.14,6.96,52.44,4.72,77.33,1.37,0.35,1.82,2.14,2.61,2.80,0.21,4.47,15.82,1.15
"1218","泰山",55.90,292.39,129.76,85.43,3.61,7.74,47.15,9.03,40.42,4.22,1.04,2.15,3.53,4.19,1.50,0.36,-7.83,-3.62,-2.61
"1219","福壽",51.71,146.34,211.92,127.89,3.58,9.20,39.67,6.02,60.63,3.03,1.39,2.37,4.07,2.95,1.42,0.49,28.33,24.47,4.82
"1220","台榮",20.30,298.31,485.21,348.34,62.62,4.55,80.21,4.43,82.39,3.25,0.94,6.26,8.00,8.78,6.57,0.93,66.04,129.58,3.14
"1225","福懋油",44.78,223.05,220.33,147.07,20.00,7.47,48.86,7.98,45.73,5.02,1.64,7.73,13.61,28.49,4.46,1.76,28.96,164.29,5.13
"1227","佳格",33.92,319.21,220.33,127.07,62.24,5.57,65.52,4.80,76.04,6.39,1.28,12.67,18.89,37.28,9.74,2.98,32.99,105.11,5.41
"1229","聯華",15.74,1516.11,74.14,50.04,61.88,6.08,60.03,4.25,85.88,3.25,0.20,8.56,10.11,24.50,42.00,2.37,71.12,100.14,5.29
"1231","聯華食",52.56,171.92,172.23,98.44,2166.96,5.27,69.25,4.48,81.47,2.43,1.05,7.72,16.20,38.34,7.04,3.07,40.43,77.00,7.58
"1232","大統益",30.91,717.05,300.34,150.87,282.57,18.36,19.88,7.49,48.73,31.18,3.35,17.48,24.03,68.40,5.19,5.58,49.57,102.22,0.16
"1233","天仁",28.16,149.11,165.72,97.11,24436.89,8.86,41.19,3.16,115.50,2.24,1.08,8.59,11.77,22.40,7.95,1.87,50.28,81.43,1.88
"1234","黑松",19.99,359.88,349.37,168.17,181.82,14.65,24.91,2.17,168.20,1.56,0.39,5.01,6.27,30.77,12.62,2.75,-48.97,-7.32,-10.04
"1235","興泰",34.79,1193.58,224.70,221.54,10.70,0.61,598.36,1.45,251.72,0.50,0.03,6.97,10.67,37.97,190.10,3.81,10.46,542.00,4.78
"1236","宏亞",41.89,143.74,164.40,102.78,13.94,5.41,67.46,4.98,73.29,1.16,0.65,2.46,3.97,8.17,3.52,0.69,22.88,92.04,0.98
"1256","鮮活果汁-KY",46.57,237.78,164.20,121.38,29.06,18.63,19.59,9.06,40.28,5.97,1.59,14.09,25.30,135.38,8.51,8.35,51.96,135.11,19.25
"1301","台塑",31.29,511.41,215.47,189.05,31.01,14.34,25.45,9.21,39.63,2.46,0.40,9.23,13.12,68.83,21.86,6.19,45.50,111.10,2.55
"1303","南亞",34.65,314.68,256.10,210.45,32.59,5.87,62.18,6.58,55.47,1.99,0.52,9.54,14.70,67.90,17.69,6.16,54.63,142.98,2.83
"1304","台聚",48.35,209.18,237.06,185.45,1355.53,7.48,48.79,6.78,53.83,2.34,0.89,4.28,7.55,26.88,4.48,1.15,31.49,88.48,5.33
"1305","華夏",41.72,207.16,290.30,218.13,83.33,10.16,35.92,6.28,58.12,2.75,1.10,12.16,21.22,38.16,10.90,3.02,88.10,151.49,9.10
"1307","三芳",41.52,187.84,224.11,187.52,49.00,7.25,50.34,5.16,70.73,1.85,0.75,8.68,14.32,38.75,11.26,3.13,59.77,144.05,9.41
"1308","亞聚",35.26,322.59,256.41,221.92,3721.50,8.56,42.64,6.97,52.36,1.59,0.47,5.52,7.32,15.76,11.38,1.32,-28.75,40.61,-6.28
"1309","台達化",60.14,213.41,151.09,104.27,5.20,6.92,52.74,11.78,30.98,6.64,1.86,1.81,3.58,6.02,0.74,0.37,30.15,76.59,9.93
"1310","台苯",35.95,197.02,158.92,112.51,36.38,16.01,22.79,17.62,20.71,3.07,1.19,11.55,18.80,31.56,9.44,2.67,57.10,166.05,7.71
"1312","國喬",16.63,267.77,269.18,210.47,66212.09,7.68,47.52,9.98,36.57,2.41,0.83,10.73,12.97,33.28,12.95,2.65,108.92,175.68,7.07
"1313","聯成",49.42,201.39,172.22,101.93,590.92,14.98,24.36,8.55,42.69,3.25,1.15,3.57,5.98,11.73,2.56,0.96,14.79,71.85,3.01
"1314","中石化",33.21,421.14,153.71,130.52,-6.89,14.01,26.05,13.21,27.63,1.59,0.33,-2.22,-3.60,-7.78,-7.40,-0.81,2.50,-31.43,0.41
"1315","達新",23.81,475.60,348.84,288.81,31.78,6.35,57.48,3.21,113.70,1.64,0.31,3.35,4.27,17.00,10.50,1.59,18.32,94.06,0.23
"1316","上曜",53.92,798.26,162.57,46.22,-5.33,3.23,113.00,0.26,1403.84,2.69,0.18,-2.25,-5.32,-8.97,-14.82,-0.79,-14.07,-94.46,-14.32
"1319","東陽",44.74,146.98,114.46,73.75,24.36,4.99,73.14,6.77,53.91,1.31,0.66,7.11,12.62,52.01,10.25,4.08,61.78,98.50,12.04
"1321","大洋",55.43,229.29,124.64,56.58,2.77,10.42,35.02,5.43,67.21,1.03,0.40,0.15,-0.30,2.86,-0.34,-0.07,-9.14,7.24,-0.90
"1323","永裕",47.32,233.14,411.55,310.79,26.21,5.22,69.92,5.13,71.15,2.24,0.82,9.46,17.34,49.19,10.95,3.11,59.47,145.44,2.53
"1324","地球",25.63,303.55,341.88,270.85,1034.90,6.08,60.03,5.34,68.35,3.59,0.93,4.91,6.53,10.74,5.25,0.86,32.87,125.75,3.39
"1325","恆大",8.66,224.52,1018.38,848.58,8517.25,5.81,62.82,5.39,67.71,1.15,0.48,5.44,5.93,15.98,11.25,1.16,151.04,147.17,2.63
"1326","台化",30.27,349.85,298.96,240.96,26.23,10.52,34.69,6.61,55.21,2.43,0.58,9.54,13.68,93.28,15.32,7.50,75.39,137.45,4.05
"1337","再生-KY",11.22,180.29,364.55,332.13,93.97,3.49,104.58,14.73,24.77,1.00,0.52,3.67,4.03,26.49,7.03,1.53,101.85,83.73,10.05
"1338","廣華-KY",30.76,254.00,219.95,188.77,30.37,3.27,111.62,7.01,52.06,2.83,0.81,7.56,10.44,102.50,9.01,8.17,44.16,77.08,8.48
"1339","昭輝",47.25,143.25,128.55,106.99,12.34,3.96,92.17,5.85,62.39,0.80,0.43,5.78,9.52,52.69,12.36,4.13,34.22,71.44,6.92
"1340","勝悅-KY",7.76,1380.22,1121.81,1049.15,1550.70,2.81,129.89,89.45,4.08,7.66,0.51,13.75,15.21,90.64,26.71,7.68,109.34,"NA",8.96
"1341","富林-KY",44.31,425.35,187.33,109.20,46.27,7.17,50.90,4.92,74.18,14.04,1.98,31.27,53.00,125.75,15.46,12.96,82.84,"NA",-0.34
"1402","遠東新",50.88,217.27,100.33,76.54,7.42,8.96,40.73,7.06,51.69,1.46,0.42,2.94,6.55,29.82,5.88,1.26,32.26,77.75,10.35
"1409","新纖",74.29,205.56,91.24,85.83,2.95,5.03,72.56,5.50,66.36,1.48,0.24,1.14,2.88,7.78,3.01,0.46,16.05,281.00,20.34
"1410","南染",17.93,508.95,735.35,714.89,628.25,5.43,67.21,15.65,23.32,2.09,0.39,8.44,10.32,21.78,21.60,1.63,190.22,135.08,3.98
"1413","宏洲",66.16,141.07,141.07,52.13,-2.46,9.38,38.91,4.32,84.49,1.83,0.95,-2.17,-7.73,-4.42,-2.86,-0.47,-15.58,-109.70,-1.64
"1414","東和",34.89,214.87,91.30,40.13,0.88,9.07,40.24,1.95,187.17,0.59,0.21,0.09,-0.10,-0.05,-0.32,-0.01,18.20,39.41,2.80
"1416","廣豐",52.76,152.22,130.38,31.80,11.82,65.62,5.56,0.87,419.54,0.86,0.32,10.29,22.49,55.11,30.94,4.69,58.61,34.18,15.07
"1417","嘉裕",25.20,404.30,256.53,128.48,-2874.70,9.63,37.90,1.18,309.32,2.86,0.54,-3.01,-4.21,-10.31,-5.76,-0.45,0.00,0.00,0.00
"1418","東華",82.84,51.43,41.27,9.87,-7.87,123.36,2.95,4.44,82.20,1.36,0.96,-9.20,-44.70,-13.42,-10.57,-1.46,-8.88,-118.31,-6.80
"1419","新紡",36.23,1791.59,60.71,48.48,5.83,8.08,45.17,2.07,176.32,2.71,0.11,1.48,1.99,4.88,11.24,0.52,2.10,-19.11,0.81
