公司代號,公司簡稱,財務結構-負債佔資產比率(%),財務結構-長期資金佔不動產、廠房及設備比率(%),償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元),現金流量-現金流量比率(%),現金流量-現金流量允當比率(%),現金流量-現金再投資比率(%)
1101,台泥,44.66,206.66,140.76,124.35,13.11,4.54,80.39,9.29,39.28,1.09,0.41,6.27,10.51,57.42,14.02,2.93,29.12,104.69,3.83
1102,亞泥,42.82,308.6,108.57,94.08,9.23,4.13,88.37,7.7,47.4,1.17,0.28,4.51,6.93,40.81,14.04,2.98,16.38,89.91,2.14
1103,嘉泥,42.73,981.9,382.56,343.98,104.83,5.95,61.34,2.1,173.8,1.18,0.12,0.64,0.26,0.12,1.37,0.03,0,40.82,0
1104,環泥,18.49,301.84,128.23,106.31,145.75,4.52,80.75,15.82,23.07,1,0.31,7.5,9.13,23.83,23.79,2.26,31.92,59.48,0.54
1108,幸福,44.82,262.13,238.3,76.52,8.51,4.48,81.47,1.21,301.65,2.22,0.61,4.9,8.14,10.82,7.2,0.94,35.61,224.28,3.65
1109,信大,24.45,164.55,150.36,103.29,12.14,5.67,64.37,4.94,73.88,1.16,0.52,3.86,4.76,10.14,6.74,0.67,27.67,62.8,0.04
1110,東泥,7.74,2626.22,607.3,385.1,7948.02,4.67,78.15,4.6,79.34,6.16,0.22,1.5,1.62,2.29,6.85,0.26,31.73,74.1,-0.28
1201,味全,71.81,116.65,97.56,83.54,0.31,8.15,44.78,2.2,165.9,1.89,0.68,-0.44,-3.35,-3.37,-1.42,-0.48,2.08,21.7,0.6
1203,味王,38.03,231.41,225.49,112.56,21.04,13.17,27.71,3.01,121.26,2.11,0.78,4.75,7.18,22.21,5.73,1.12,49.19,81.87,4.72
1210,大成,51.82,186.83,136.03,76.94,6.42,15.97,22.85,9.69,37.66,7.28,2.3,2.99,5.16,20.26,1.09,1.7,14.98,80.19,8.24
1213,大飲,17.78,224.18,359.87,326.79,155.45,5.42,67.34,16.16,22.58,2.19,0.84,1.44,1.75,3.21,1.7,0.22,29.7,218.1,2.81
1215,卜蜂,42.86,211.66,135.15,87.3,29.27,9.67,37.74,14.74,24.76,6.19,1.89,9.04,15.8,40.86,4.61,3.21,33.03,119.59,9.28
1216,統一,62.58,138.94,95.77,62.36,1056.02,21.28,17.15,8.13,44.89,2.4,1.1,5.09,12.32,40.75,4.17,2.04,23.05,89.53,6.64
1217,愛之味,54.51,174.49,84.88,57.51,-1.3,7.92,46.08,4.26,85.68,0.85,0.31,-1.94,-7.44,-7.94,-9.55,-0.73,-3.87,20.74,-1.12
1218,泰山,56.6,209.31,115.1,67.46,2.06,9.14,39.93,9.6,38.02,3.46,1.16,1.62,2.03,2.12,0.75,0.2,-4.91,2.25,-1.58
1219,福壽,37.9,218.73,312.55,179.55,12.1,9.45,38.62,7.75,47.09,5.17,1.82,2.56,3.57,4.94,1.29,0.43,9.88,4.76,0.7
1220,台榮,32.12,279.66,288.93,192.59,9.95,4.97,73.44,6.52,55.98,4.17,1.19,1.47,1.87,1.78,1.11,0.3,-7.79,96.66,-2.19
1225,福懋油,39.68,369.26,295.76,175.94,3.06,8.92,40.91,12.43,29.36,9.41,2.03,1.5,1.79,2.35,0.51,0.22,9.54,70.38,0.42
1227,佳格,33.28,338.11,238.55,142.08,12274.13,5.37,67.97,4.24,86.08,6.43,1.28,12.39,18.21,35.66,9.58,2.9,37.31,117.18,6.89
1229,聯華,16.34,1531.4,88.56,55.2,38.74,6.16,59.25,4.56,80.04,3.03,0.2,6.67,7.93,20.69,31.84,2.01,46.18,98.05,2.35
1231,聯華食,57.55,155.77,153.32,78.41,9.2,5.52,66.12,4.03,90.57,2.24,1.02,4.28,8.63,17.78,3.77,1.5,18.33,45.51,3.24
1232,大統益,26.95,663.3,353.02,168.65,316.39,22.26,16.39,12.47,29.27,37.97,4.8,21.92,29.42,75.27,4.55,6.17,7.13,NA,-7.33
1233,天仁,26.59,155.09,168.87,95.64,45486.83,8.35,43.71,3.15,115.87,2.29,1.07,11.62,15.87,30.32,10.79,2.54,58.38,85.12,1.49
1234,黑松,19.14,331.34,472.01,380.21,45.09,13.24,27.56,2.63,138.78,1.21,0.27,1.84,2.25,11.92,6.57,0.98,42.91,26.62,-4.37
1235,興泰,48.12,563.43,163.53,156.93,3.72,0.71,514.08,3.09,118.12,0.71,0.08,3.23,4.82,8.98,30.08,0.97,0,124.67,0
1236,宏亞,41.92,123.08,133.16,84.11,2942.24,7.27,50.2,5.69,64.14,1.3,0.75,5.45,9.06,16.79,7.06,1.55,23.63,47.83,3.11
1301,台塑,33.68,434.24,334.15,278.7,12.97,16.05,22.74,8.98,40.64,2.58,0.5,4.59,6.56,32.28,8.31,2.83,28.04,99.02,0.26
1303,南亞,37.27,307.62,295.38,222.82,15.65,6.5,56.15,6.4,57.03,2.22,0.62,6.69,10.9,43.52,10.08,4.01,28.37,118.07,0.73
1304,台聚,46.76,207.78,198.57,141.88,454.68,7.39,49.39,6.59,55.38,3.16,1.02,1.43,2.02,7.68,1.05,0.62,16.88,89.02,3.05
1305,華夏,46.53,173.62,213.44,123.9,5.28,10.79,33.82,7.15,51.04,2.82,1.27,1.29,1.98,2.73,0.84,0.25,8.73,63.87,-0.84
1307,三芳,42.29,186.31,259.33,193.68,29.68,7.2,50.69,4.41,82.76,2.01,0.86,7.72,13.12,31.41,8.67,2.59,63.15,86.4,7.84
1308,亞聚,10.23,467.42,472.52,327.94,5782.32,13.15,27.75,6.77,53.91,2.87,0.55,4.94,5.48,12.43,8.98,1.06,227.34,119.37,8.43
1309,台達化,68.43,215.27,134.42,100.76,-5.19,5.7,64.03,9.26,39.41,8.04,1.79,-4.67,-16.69,-194.78,-3.02,-1.93,-5.79,-6.85,-3.09
1310,台苯,39.8,186,132.1,98.49,-2.43,15.96,22.86,19.44,18.77,4.68,1.64,-0.23,-0.84,-2.21,-0.3,-0.07,-7.49,63.57,-3.27
1312,國喬,26.8,238.68,172.39,125.97,2479.6,8.71,41.9,11.45,31.87,2.75,0.99,2.1,2.72,8.14,2.02,0.31,60.84,141.12,4.9
1313,聯成,56.74,234.88,157.53,121.71,7.01,14.45,25.25,8.55,42.69,4.62,1.2,0.04,-1.28,-3.42,-0.45,-0.21,12.38,52.93,4.31
1314,中石化,31.01,422.6,320.51,260.65,5.24,13.97,26.12,12.91,28.27,1.86,0.45,0.49,0.55,1.52,0.89,0.13,-32.65,53.33,-2.73
1315,達新,22.34,445.88,411.92,336.8,31.62,5.87,62.18,3.44,106.1,1.6,0.32,2.52,3.07,13.66,7.54,1.11,31.61,68.28,0.91
1316,上曜,46.15,901.98,357.91,144.31,1.42,3.33,109.6,0.61,598.36,1.89,0.27,-0.74,-2.26,-9.63,-4.47,-0.33,-79.62,-54.08,-21.24
1319,東陽,48.08,152.71,117.31,76.82,10.46,4.53,80.57,6.08,60.03,1.3,0.64,3.2,5.32,20.29,4.51,1.54,37.79,77.29,6.92
